episode_index,joint_torque_mean_1,joint_torque_mean_2,joint_torque_mean_3,joint_torque_mean_4,joint_torque_mean_5,joint_torque_mean_6,joint_torque_mean_7,joint_force_mean_1,joint_force_mean_2,joint_force_mean_3,joint_force_mean_4,joint_force_mean_5,joint_force_mean_6,joint_force_mean_7
89,0.47938374,13.992224,0.5251448,11.961515,0.07437909,0.9324168,-0.20037442,0.4805938,-0.7203867,0.5468285,-0.017794197,0.08156456,-0.1848176,-0.1962782
90,0.42781708,13.800383,0.5379984,11.913276,0.071557224,0.86953354,-0.23773432,0.42953137,-0.64264053,0.54385555,-0.18283495,0.098987274,-0.23735958,-0.23860924
91,0.51567286,14.295012,0.58075935,11.958021,0.07997969,0.8441029,-0.19401205,0.5142297,-0.7317174,0.60996604,-0.060657926,0.08542099,-0.2897008,-0.22574647
92,0.371731,13.9411745,0.44460905,11.896099,0.074070245,0.9056997,-0.2187084,0.3702393,-0.7031421,0.48041967,-0.08912176,0.07083476,-0.20970623,-0.2385816
93,0.2869344,13.142843,0.40393472,12.037833,0.0859222,0.89029205,-0.21120292,0.29108405,-0.6036334,0.41391316,-0.034592956,0.11591511,-0.21316648,-0.2118059
94,0.39179245,13.6214905,0.4817141,12.125621,0.09559794,0.9768341,-0.20655894,0.3926867,-0.5510105,0.4958481,-0.05593381,0.12619527,-0.14188099,-0.20716347
95,0.3397631,14.728409,0.49473178,11.659496,0.21869196,0.9918031,-0.13023408,0.3380142,-0.68304086,0.50355184,-0.10543237,0.23845167,-0.08355504,-0.14654264
96,0.3621336,14.814414,0.4587569,11.761134,0.15032212,1.0360922,-0.13494718,0.36203933,-0.5380173,0.47291148,-0.009412305,0.18142149,-0.059813347,-0.17057626
97,0.19815266,14.652433,0.31824946,11.975001,0.23438486,1.0469471,-0.10102362,0.20058565,-0.6041958,0.3353638,0.024943383,0.23914027,-0.040232282,-0.10792744
98,0.2994375,14.637874,0.38939843,11.907754,0.20933388,1.0117391,-0.18403031,0.29973155,-0.5642947,0.43130344,-0.007245519,0.18775769,-0.06347035,-0.15484779
99,0.3299786,14.370259,0.45181403,11.743881,0.21696973,1.0214272,-0.14218119,0.3274563,-0.67198527,0.45801738,-0.049082983,0.24085532,-0.078902766,-0.15451993
100,0.37433267,14.5064,0.47867027,11.669271,0.19437683,1.0197076,-0.17003317,0.37497848,-0.6352102,0.47969955,-0.038136892,0.20056163,-0.07314812,-0.1416766
101,0.29099292,14.436369,0.3952861,11.8653755,0.17577438,1.0407208,-0.1669267,0.29021236,-0.59032863,0.42471206,0.029324884,0.16845457,-0.05759319,-0.15465845
102,0.38796717,14.701441,0.47130117,11.64576,0.16699415,0.991813,-0.17039229,0.39191556,-0.6756472,0.4726616,-0.02346332,0.17662713,-0.121456906,-0.14453882
103,0.41888043,14.489636,0.5507487,11.97209,0.04345736,0.9994855,-0.22739717,0.4151008,-0.57360965,0.5563168,0.07690515,0.09451628,-0.15667106,-0.20345277
104,0.34747136,14.013035,0.48394734,11.709556,0.076020904,0.932424,-0.21730608,0.34747395,-0.69966483,0.5059121,-0.03918561,0.09292869,-0.22698295,-0.22105467
105,0.47935486,14.065445,0.6174474,11.94414,0.0556522,0.90852624,-0.22602624,0.48341766,-0.57802355,0.6216245,0.036517333,0.11513487,-0.24889638,-0.26977572
106,0.30044863,14.268105,0.46218196,11.854321,0.14075787,1.0670618,-0.11959808,0.30041492,-0.5910578,0.46531874,-0.050674867,0.19053182,-0.05322597,-0.13981201
107,0.22597292,14.199251,0.36385795,11.67396,0.12827672,1.0546389,-0.058830284,0.22550431,-0.5724796,0.36784813,0.028657734,0.17372246,-0.0720868,-0.0914605
108,0.41733125,14.011426,0.5469246,11.64479,0.12467052,1.0430231,-0.15559039,0.41916296,-0.716462,0.56045836,-0.11577688,0.16252485,-0.07875976,-0.17330126
109,0.29993528,14.045728,0.43831438,11.582867,0.14027049,1.0265422,-0.14583465,0.30214366,-0.7115063,0.47974324,-0.15297544,0.14777292,-0.0906686,-0.16729614
110,0.3484924,14.182836,0.47599977,11.586032,0.116960935,1.0453149,-0.12177513,0.3431107,-0.7405716,0.47888848,-0.095628515,0.15328902,-0.06601005,-0.14842576
111,0.42597064,13.869846,0.5448424,11.575998,0.12631255,1.0304506,-0.175605,0.4312646,-0.7115372,0.5560579,-0.18339832,0.16048391,-0.093356915,-0.18737176
112,0.37874368,14.017714,0.5320639,11.655698,0.11988664,1.0116862,-0.16935988,0.38636386,-0.6099965,0.5249928,-0.111878954,0.15975565,-0.10078471,-0.17277351
113,0.37353432,13.871797,0.50357383,11.532858,0.10811065,1.0239612,-0.123967886,0.3715354,-0.8222083,0.51072896,-0.1693619,0.15120363,-0.09390782,-0.16215305
114,0.32904577,14.310131,0.4544178,11.528032,0.08395617,1.0630735,-0.10459298,0.3285467,-0.7090152,0.46161252,-0.15126413,0.14551643,-0.09081805,-0.14239381
115,0.35889938,13.9862585,0.5072965,11.396729,0.113540925,1.0122135,-0.08067413,0.3576291,-0.70350766,0.49641716,-0.20645946,0.18175443,-0.11653518,-0.11994905
116,0.1771164,13.738225,0.3154513,11.396941,0.06589851,1.0908896,-0.09450041,0.17680767,-0.79371226,0.343661,-0.13500753,0.11916055,-0.061784048,-0.14065705
117,0.45696235,14.072944,0.5657718,11.410597,0.08967951,0.9726087,-0.12807809,0.4603302,-0.74774444,0.57184666,-0.21442112,0.1383194,-0.14131622,-0.16729745
118,0.2546737,14.532558,0.391313,11.628819,0.09740273,1.0164403,-0.10519177,0.2521694,-0.59112537,0.4148525,-0.113360554,0.13961686,-0.09861733,-0.14957212
119,0.22472954,14.284111,0.36206195,11.471721,0.08288476,1.0328163,-0.10268591,0.2294682,-0.6934264,0.38839602,-0.07585417,0.13424629,-0.098898806,-0.13343835
120,0.37819472,14.434692,0.50112593,11.736723,0.112590194,0.9791101,-0.15696687,0.3710784,-0.7102871,0.5176959,-0.21807045,0.14909619,-0.07838848,-0.1604193
121,0.32245564,14.076813,0.45871985,11.643626,0.101111054,0.98189783,-0.15063088,0.31956398,-0.6176541,0.48105845,-0.18128167,0.13537621,-0.11349015,-0.18972774
122,0.327308,14.215514,0.43688497,11.706485,0.09123151,1.077505,-0.1539867,0.3255102,-0.7475886,0.4725487,0.0036314472,0.11193495,-0.046788573,-0.19347802
123,0.40524635,14.157526,0.54974973,11.442668,0.07810064,0.95469034,-0.16494313,0.4047133,-0.6338263,0.5541309,-0.141802,0.120768234,-0.157299,-0.17418073
124,0.31269252,13.989657,0.47989303,11.707504,0.1076634,0.96115166,-0.23420133,0.30901018,-0.7516208,0.48563778,-0.16733073,0.13734545,-0.15118778,-0.21270162
125,0.30211246,14.031668,0.42759717,11.7485,0.15103857,1.0513723,-0.1916419,0.29949376,-0.68157506,0.46022156,-0.009169086,0.15486369,-0.08379412,-0.19258533
126,0.3658672,14.12856,0.52598095,11.586049,0.12828377,1.0213434,-0.1831248,0.36981833,-0.79498315,0.53206044,-0.12586012,0.16777933,-0.086777136,-0.20146683
